"ID","date","postcode","property_type","whether_old_or_new","freehold_or_leasehold","address1","address2","address3","town","local_aut","county","postcode_short","current_energy_rating","total_floor_area","number_habitable_rooms","co2_emissions_current","co2_emissions_potential","energy_consumption_current","energy_consumption_potential","windows_energy_eff","tenure","latitude","longitude","population","altitude","london_zone","nearest_station","water_company","average_income","district","price","type_of_closest_station","num_tube_lines","num_rail_lines","num_light_rail_lines","distance_to_station"
38,"2019-12-06","SW13 9ED","T","N","F","7",NA,"LONSDALE ROAD","BARNES","LONDON","RICHMOND UPON THAMES","SW13","D",198,6,5.8,3.2,165,91,"Poor","owner-occupied",51.485779,-0.234359,39,8,2,"barnes bridge","Thames Water",65600,"Richmond upon Thames",2625000,"tube",1,0,0,1.4273558
39,"2019-03-22","SE2 9SE","S","N","F","114",NA,"OVERTON ROAD",NA,"LONDON","BEXLEY","SE2","D",76,4,3.7,0.8,256,50,"Good","owner-occupied",51.493489,0.125368,116,2,4,"abbey wood","Thames Water",41400,"Greenwich",390000,"rail",0,1,0,0.9128366
40,"2019-04-12","SW11 3HD","F","N","L","GALLAGHER COURT, 49","FLAT 16","WINDERS ROAD",NA,"LONDON","WANDSWORTH","SW11","C",53.25,2,1.6,1.3,182,148,"Average","rental (private)",51.471932,-0.171625,99,8,2,"clapham junction","Thames Water",66400,"Wandsworth",330000,"light_rail",0,1,1,0.7257952
41,"2019-04-12","TW10 7QW","T","N","F","87",NA,"WOODVILLE ROAD",NA,"RICHMOND","RICHMOND UPON THAMES","TW10","D",85,4,3.5,1.1,241,71,"Average","owner-occupied",51.437359,-0.319705,14,9,5,"teddington","Thames Water",56200,"Richmond upon Thames",522500,"rail",0,1,0,1.3366314
42,"2019-12-16","E17 5PJ","T","N","F","396",NA,"BILLET ROAD",NA,"LONDON","WALTHAM FOREST","E17","C",104,5,2.8,1.3,155,69,"Average","owner-occupied",51.598633,-0.041079,102,17,3,"blackhorse road","Thames Water",44100,"Waltham Forest",490000,"rail",0,1,0,0.9439066
43,"2019-10-23","TW14 8JG","S","N","F","31",NA,"WEST ROAD",NA,"FELTHAM","HOUNSLOW","TW14","D",70,5,3,0.7,247,54,"Good","owner-occupied",51.453715,-0.436594,111,20,6,"hatton cross","Affinity Water",49000,"Hounslow",408000,"tube",1,1,0,1.3403598
44,"2019-05-17","SE28 8SQ","F","N","L","105",NA,"REDBOURNE DRIVE","THAMESMEAD","LONDON","BEXLEY","SE28","D",45,3,3.5,3.3,466,437,"Average","rental (private)",51.511716,0.125467,24,3,5,"abbey wood","Thames Water",49800,"Greenwich",182500,"rail",0,1,0,2.4588798
45,"2019-10-08","SW11 3JW","F","N","L","ICON BUILDING, 135","FLAT 7","BATTERSEA HIGH STREET",NA,"LONDON","WANDSWORTH","SW11","C",70,3,2.1,2,178,172,"Good","rental (private)",51.47129,-0.173134,47,6,2,"clapham junction","Thames Water",66400,"Wandsworth",475000,"light_rail",0,1,1,0.6847828
46,"2019-05-31","SE25 4DP","F","N","L","1","FLAT 3","WARMINSTER ROAD",NA,"LONDON","CROYDON","SE25","D",38,2,2.1,1,309,150,"Very Poor","owner-occupied",51.406162,-0.072983,79,56,4,"norwood junction","Thames Water",45200,"Croydon",220000,"light_rail",0,1,1,0.8724456
47,"2019-05-29","SW11 3AN","F","N","L","MUSGRAVE COURT, 110","FLAT 68","BATTERSEA BRIDGE ROAD",NA,"LONDON","WANDSWORTH","SW11","D",45.81,2,3.1,2.7,402,351,"Very Poor","rental (private)",51.477636,-0.170004,107,5,2,"battersea park","Thames Water",63200,"Wandsworth",320000,"light_rail",0,1,1,1.2142156
48,"2019-08-29","SE16 5XH","S","N","F","17",NA,"SOVEREIGN CRESCENT",NA,"LONDON","SOUTHWARK","SE16","C",85,4,2.8,1.2,187,77,"Average","owner-occupied",51.507336,-0.039176,42,1,2,"rotherhithe","Thames Water",69100,"Southwark",990000,"light_rail",0,0,1,0.7835854
49,"2019-03-22","TW14 8SQ","F","N","L","26",NA,"LOXWOOD CLOSE",NA,"FELTHAM","HOUNSLOW","TW14","D",38,2,2,1.4,305,215,"Average","owner-occupied",51.448302,-0.433282,160,20,6,"feltham","Affinity Water",49000,"Hounslow",195000,"tube",1,1,0,1.4932242
50,"2019-07-24","DA14 5NF","T","N","F","32",NA,"THE SPINNEY",NA,"SIDCUP","BEXLEY","DA14","F",89,5,7.2,1.4,455,90,"Average","owner-occupied",51.422722,0.130425,70,26,5,"albany park","Thames Water",43600,"Bexley",365000,"rail",0,1,0,2.0903896
51,"2019-07-12","SW11 4QS","F","N","L","35",NA,"WATFORD CLOSE",NA,"LONDON","WANDSWORTH","SW11","C",51,3,1.7,1.7,190,190,"Average","rental (social)",51.476016,-0.167113,62,8,2,"battersea park","Thames Water",50400,"Wandsworth",410000,"light_rail",0,1,1,0.9519848
52,"2019-03-12","SW11 3DY","F","N","L","MCKIERNAN COURT","FLAT 41","SHUTTLEWORTH ROAD",NA,"LONDON","WANDSWORTH","SW11","D",76,4,2.8,1.8,206,136,"Average","rental (private)",51.472504,-0.172552,98,6,2,"clapham junction","Thames Water",66400,"Wandsworth",425000,"light_rail",0,1,1,0.8289476
54,"2019-09-02","SW13 9AH","T","N","F","22",NA,"EVERDON ROAD",NA,"LONDON","RICHMOND UPON THAMES","SW13","C",101,4,2.6,1.5,161,94,"Average","owner-occupied",51.483775,-0.241595,75,8,2,"barnes bridge","Thames Water",65600,"Richmond upon Thames",905000,"tube",1,0,0,1.1551826
55,"2019-10-23","SW13 9DA","S","N","F","109",NA,"LONSDALE ROAD","BARNES","LONDON","RICHMOND UPON THAMES","SW13","C",210,7,5.1,2.6,152,77,"Good","owner-occupied",51.484979,-0.242715,71,7,2,"barnes bridge","Thames Water",65600,"Richmond upon Thames",2300000,"tube",1,0,0,1.0427092
56,"2019-03-01","DA14 5EW","F","N","L","9",NA,"GATTONS WAY",NA,"SIDCUP","BEXLEY","DA14","D",62,3,2.9,1.6,248,140,"Average","owner-occupied",51.425373,0.136921,132,40,5,"bexley","Thames Water",43600,"Bexley",250000,"rail",0,1,0,1.6958006
57,"2019-06-21","SW13 9AH","T","N","F","14",NA,"EVERDON ROAD",NA,"LONDON","RICHMOND UPON THAMES","SW13","D",78,3,3.2,1.2,212,78,"Average","owner-occupied",51.483775,-0.241595,75,8,2,"barnes bridge","Thames Water",65600,"Richmond upon Thames",765000,"tube",1,0,0,1.1551826
58,"2019-10-04","W14 8AJ","F","N","L","27","FLAT 6","UPPER ADDISON GARDENS",NA,"LONDON","KENSINGTON AND CHELSEA","W14","D",70,3,3.1,1.6,250,131,"Average","owner-occupied",51.503938,-0.213744,93,13,2,"holland park","Thames Water",60100,"Kensington and Chelsea",1e+06,"tube",1,1,1,0.419445
59,"2019-09-04","SW11 3RF","F","N","L","FALCON WHARF, 34","FLAT 713","LOMBARD ROAD",NA,"LONDON","WANDSWORTH","SW11","C",65,2,2.4,2.2,212,195,"Good","owner-occupied",51.470323,-0.177957,148,6,2,"clapham junction","Thames Water",66400,"Wandsworth",495000,"light_rail",0,1,1,0.9047584
60,"2019-04-15","TW14 9ST","T","N","F","60",NA,"PENINSULAR CLOSE",NA,"FELTHAM","HOUNSLOW","TW14","C",70,3,2.4,1,195,75,"Good","owner-occupied",51.456677,-0.432822,94,24,6,"feltham","Affinity Water",50600,"Hounslow",345000,"tube",1,1,0,1.3310388
61,"2019-09-06","TW10 7NN","F","N","L","87",NA,"ASHBURNHAM ROAD",NA,"RICHMOND","RICHMOND UPON THAMES","TW10","C",75,3,1.8,1.5,134,111,"Average","owner-occupied",51.43577,-0.319893,61,11,5,"teddington","Thames Water",56200,"Richmond upon Thames",450000,"rail",0,1,0,1.2452856
62,"2019-09-27","SW11 3HD","F","N","L","GALLAGHER COURT, 49","FLAT 2","WINDERS ROAD",NA,"LONDON","WANDSWORTH","SW11","C",64,2,1.6,1.4,140,126,"Average","owner-occupied",51.471932,-0.171625,99,8,2,"clapham junction","Thames Water",66400,"Wandsworth",330000,"light_rail",0,1,1,0.7257952
63,"2019-12-06","TW13 6SR","S","N","F","15",NA,"OSBORNE CLOSE",NA,"FELTHAM","HOUNSLOW","TW13","D",69,5,3.1,1.1,254,85,"Average","owner-occupied",51.429242,-0.395022,103,20,6,"hampton","Thames Water",52700,"Hounslow",392500,"rail",0,1,0,1.8996198
64,"2019-09-13","TW14 8JE","S","N","F","40",NA,"WEST ROAD",NA,"FELTHAM","HOUNSLOW","TW14","D",82,4,4.1,1.5,290,103,"Average","owner-occupied",51.453834,-0.436115,102,20,6,"hatton cross","Affinity Water",49000,"Hounslow",425000,"tube",1,1,0,1.3366314
65,"2019-07-23","IG3 9QZ","T","N","F","43",NA,"HAZELDENE ROAD",NA,"ILFORD","REDBRIDGE","IG3","E",102,6,5.4,2.5,301,136,"Average","owner-occupied",51.562003,0.115504,152,14,4,"chadwell heath","Essex & Suffolk Water",49900,"Redbridge",450000,"rail",0,1,0,0.8892234
66,"2019-11-28","TW13 6RJ","D","N","F","16",NA,"ST ALBANS AVENUE",NA,"FELTHAM","HOUNSLOW","TW13","D",115,5,5.9,1.7,288,83,"Average","owner-occupied",51.429899,-0.392366,29,20,6,"hampton","Thames Water",52700,"Hounslow",560000,"rail",0,1,0,1.6504384
67,"2019-05-10","SW8 4SX","F","N","L","39",NA,"THORPARCH ROAD",NA,"LONDON","LAMBETH","SW8","C",93,4,2.5,1.7,154,106,"Average","owner-occupied",51.477035,-0.130869,48,7,1,"stockwell","Thames Water",57200,"Lambeth",712500,"tube",1,0,0,0.6481202
69,"2019-11-29","SE28 0GS","T","N","F","56",NA,"WATERSIDE CLOSE",NA,"LONDON","GREENWICH","SE28","C",75,4,2.4,0.6,179,42,"Good","owner-occupied",51.503964,0.101978,319,2,4,"abbey wood","Thames Water",49700,"Greenwich",322500,"rail",0,1,0,2.8851602
70,"2019-04-18","SW8 1XQ","F","N","L","32","FLAT 1","TRADESCANT ROAD",NA,"LONDON","LAMBETH","SW8","D",46,2,2.8,1.3,321,150,"Very Poor","rental (private)",51.47809,-0.122617,33,9,1,"stockwell","Thames Water",57200,"Lambeth",4e+05,"tube",1,0,0,0.4666714
71,"2019-02-04","SW13 9BT","T","N","F","57",NA,"NOWELL ROAD",NA,"LONDON","RICHMOND UPON THAMES","SW13","C",143,5,4.7,2.4,183,92,"Average","rental (private)",51.484852,-0.237304,96,7,2,"barnes bridge","Thames Water",65600,"Richmond upon Thames",1300000,"tube",1,0,0,1.360866
73,"2019-12-12","HA2 7ED","T","N","F","102",NA,"FERNBROOK DRIVE",NA,"HARROW","HARROW","HA2","E",76,5,5.9,2.9,439,208,"Poor","owner-occupied",51.577393,-0.360757,53,53,5,"north harrow","Affinity Water",67000,"Harrow",510000,"tube",1,0,0,0.602758
74,"2019-05-08","SE28 0NL","F","N","L","13",NA,"WARRIOR CLOSE",NA,"LONDON","GREENWICH","SE28","B",47.46,2,1,1,127,122,"Good","owner-occupied",51.50297,0.087682,144,4,3,"plumstead","Thames Water",49700,"Greenwich",202500,"light_rail",0,0,1,1.1384048
75,"2019-04-16","TW10 7QN","T","N","F","44",NA,"WOODVILLE ROAD",NA,"RICHMOND","RICHMOND UPON THAMES","TW10","C",105,5,3.1,1,168,51,"Good","rental (social)",51.43811,-0.318728,50,10,5,"teddington","Thames Water",56200,"Richmond upon Thames",535000,"rail",0,1,0,1.3993928
77,"2019-08-05","TW14 8DF","S","N","F","510",NA,"STAINES ROAD",NA,"FELTHAM","HOUNSLOW","TW14","D",72,5,2.9,0.5,231,40,"Good","owner-occupied",51.452425,-0.435645,57,20,6,"feltham","Affinity Water",49000,"Hounslow",380000,"tube",1,1,0,1.3571376
78,"2019-10-11","TW14 8JG","S","N","F","55",NA,"WEST ROAD",NA,"FELTHAM","HOUNSLOW","TW14","D",89,5,4,1.4,255,86,"Average","owner-occupied",51.453715,-0.436594,111,20,6,"hatton cross","Affinity Water",49000,"Hounslow",440000,"tube",1,1,0,1.3403598
79,"2019-04-26","TW14 8HP","T","N","F","8",NA,"DORCHESTER DRIVE",NA,"FELTHAM","HOUNSLOW","TW14","G",62,4,7.1,0.9,673,76,"Average","owner-occupied",51.454625,-0.430698,24,24,6,"feltham","Affinity Water",50600,"Hounslow",335000,"tube",1,1,0,1.2428
80,"2019-03-22","E6 5QH","T","N","F","11",NA,"BOULTWOOD ROAD",NA,"LONDON","NEWHAM","E6","C",68,4,2.3,0.7,196,52,"Average","owner-occupied",51.510943,0.053228,56,3,3,"beckton","Thames Water",45900,"Newham",350000,"light_rail",0,0,1,0.5971654
81,"2019-08-22","SW11 3NA","F","N","L","OLD SWAN WHARF, 116","FLAT 13","BATTERSEA CHURCH ROAD",NA,"LONDON","WANDSWORTH","SW11","C",179.19,4,4.5,4,158,141,"Good","owner-occupied",51.47655,-0.175444,64,7,2,"clapham junction","Thames Water",63200,"Wandsworth",1600000,"light_rail",0,1,1,1.0973924
82,"2019-02-13","DA1 3PN","F","N","L","9",NA,"HEATHERBANK CLOSE","CRAYFORD","DARTFORD","BEXLEY","DA1","D",44.44,2,1.8,1.7,274,258,"Average","owner-occupied",51.446067,0.175967,94,14,6,"crayford","Thames Water",49600,"Bexley",195000,"rail",0,1,0,0.8923304
84,"2019-02-15","SE2 9PP","F","N","L","2","FLAT 6","CHANTRY CLOSE",NA,"LONDON","GREENWICH","SE2","C",51,4,2.3,2.4,270,274,"Average","owner-occupied",51.491566,0.120784,24,1,4,"abbey wood","Thames Water",41900,"Greenwich",263300,"rail",0,1,0,0.8301904
85,"2019-05-10","E7 8AY","F","N","L","THE LUMIERE BUILDING, 544","FLAT 11","ROMFORD ROAD","MANOR PARK","LONDON","NEWHAM","E7","B",57,2,1.7,1.6,179,168,"Average","rental (private)",51.549019,0.043936,171,12,3,"manor park","Thames Water",43300,"Newham",220000,"light_rail",0,0,1,0.388375
86,"2019-07-05","SE2 9SE","T","N","F","112",NA,"OVERTON ROAD",NA,"LONDON","BEXLEY","SE2","D",74,4,3.8,0.8,295,59,"Good","rental (private)",51.493489,0.125368,116,2,4,"abbey wood","Thames Water",41400,"Greenwich",405000,"rail",0,1,0,0.9128366
87,"2019-01-08","SE28 8RN","T","N","F","89",NA,"BIRCHDENE DRIVE",NA,"LONDON","GREENWICH","SE28","C",64,5,2,0.4,173,37,"Good","owner-occupied",51.5003,0.10472,79,3,4,"abbey wood","Thames Water",49700,"Greenwich",307000,"rail",0,1,0,2.544633
88,"2019-06-26","CR8 5ED","D","N","F","63",NA,"KENLEY LANE",NA,"KENLEY","CROYDON","CR8","C",362,13,9,7.2,153,125,"Average","owner-occupied",51.314685,-0.095947,27,159,6,"kenley","SES Water",63800,"Croydon",1275000,"rail",0,1,0,0.758108
89,"2019-03-28","TW14 9SR","S","N","F","155",NA,"NORTHUMBERLAND CRESCENT",NA,"FELTHAM","HOUNSLOW","TW14","E",52,3,4.2,0.5,456,47,"Average","owner-occupied",51.456498,-0.428899,103,23,5,"hatton cross","Affinity Water",50600,"Hounslow",308000,"tube",1,1,0,1.1756888
91,"2019-03-28","SW13 8RB","F","N","L","RICHARD BURBIDGE MANSIONS, 1","FLAT 34","BRASENOSE DRIVE",NA,"LONDON","RICHMOND UPON THAMES","SW13","C",131.88,2,4.2,4,190,180,"Average","owner-occupied",51.484202,-0.229365,54,8,2,"barnes bridge","Thames Water",65600,"Richmond upon Thames",1400000,"tube",2,0,0,1.5920268
93,"2019-04-05","SW8 1XT","F","N","L","4","FLAT 2","HEYFORD TERRACE",NA,"LONDON","LAMBETH","SW8","D",56.89,3,2.9,2.5,300,259,"Very Poor","owner-occupied",51.480197,-0.123294,57,8,1,"vauxhall","Thames Water",57200,"Lambeth",462500,"tube",1,0,0,0.4679142
94,"2019-09-30","SE28 8DX","T","N","F","30",NA,"MARSHALL PATH",NA,"LONDON","GREENWICH","SE28","C",97,4,2.9,1.4,168,77,"Average","owner-occupied",51.505773,0.113431,97,2,4,"abbey wood","Thames Water",43500,"Greenwich",290000,"rail",0,1,0,2.2264762
95,"2019-01-28","CR0 6DH","T","N","F","514",NA,"DAVIDSON ROAD",NA,"CROYDON","CROYDON","CR0","E",88,4,5.8,2,373,124,"Average","owner-occupied",51.388668,-0.079366,109,49,3,"blackhorse lane","Thames Water",56400,"Croydon",363000,"rail",0,1,0,0.686647
96,"2019-04-16","SE16 5EE","F","N","L","26",NA,"EDWARD SQUARE",NA,"LONDON","SOUTHWARK","SE16","C",83,3,1.7,1.4,116,99,"Average","owner-occupied",51.506882,-0.036803,64,5,2,"rotherhithe","Thames Water",69100,"Southwark",525000,"light_rail",0,0,1,0.8724456
97,"2019-09-10","SE28 8BS","T","N","F","7",NA,"ROWNTREE PATH",NA,"LONDON","GREENWICH","SE28","D",100,5,3.5,1,184,48,"Average","owner-occupied",51.504037,0.114936,107,2,4,"abbey wood","Thames Water",43500,"Greenwich",270000,"rail",0,1,0,2.1077888
98,"2019-12-06","SE28 8AY","T","N","F","31",NA,"AUSTEN CLOSE",NA,"LONDON","GREENWICH","SE28","D",94,5,4.3,1.5,258,86,"Average","owner-occupied",51.502328,0.113964,152,2,4,"abbey wood","Thames Water",43500,"Greenwich",310000,"rail",0,1,0,2.0829328
